Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 08-Nov-2025),Crossref citations (as of 08-Nov-2025)
Smart welfare and slow digital poverty: the new face of social work,"Antonella Gorgoni, Marinella Sibilla",European Journal of Social Work,26,3,p519 - p531,2023,10.1080/13691457.2022.2040440,17-Feb-2022,https://doi.org/10.1080/13691457.2022.2040440,1216.0,8.0
"How Industry 4.0, artificial intelligence and augmented reality can boost Digital Lean Six Sigma","Roy Andersson, Jiju Antony, Juliano Endrigo Sordan, Marcio Lopes Pimenta, Pedro Carlos Oprime",Total Quality Management & Business Excellence,,,p1 - p25,5187,10.1080/14783363.2024.2375299,11-Jul-2024,https://doi.org/10.1080/14783363.2024.2375299,825.0,13.0
Development of an automated reconfigurable robotic airplane fuselage panel final assembly system using state-of-the-art automation technologies,"Yusuf Tansel IC, Mustafa Yurdakul, Osman Emre Çelek",International Journal of Computer Integrated Manufacturing,36,11,p1555 - p1571,2023,10.1080/0951192x.2023.2177743,28-Feb-2023,https://doi.org/10.1080/0951192x.2023.2177743,468.0,4.0
Human-robot interaction review and challenges on task planning and programming,"George Chryssolouris, Sotiris Makris, Panagiota Tsarouchi",International Journal of Computer Integrated Manufacturing,29,8,p916 - p931,2016,10.1080/0951192x.2015.1130251,29-Feb-2016,https://doi.org/10.1080/0951192x.2015.1130251,9318.0,335.0
The Measurements of Ptolemy and of the Antonine Itinerary,Gordon M Hills,Journal of the British Archaeological Association,37,4,p360 - p415,1881,10.1080/00681288.1881.11888276,28-Sep-2017,https://doi.org/10.1080/00681288.1881.11888276,3.0,0.0
Performance optimisation of pick and transport robot in a picker to parts order picking system: a human-centric approach,"Ahmad Sobhani, Vivek Vijayakumar",International Journal of Production Research,61,22,p7791 - p7808,2023,10.1080/00207543.2023.2232469,12-Jul-2023,https://doi.org/10.1080/00207543.2023.2232469,3553.0,24.0
Reactive robot system using a haptic interface: an active interaction to transfer skills from the robot to unskilled persons,"Carlo Alberto Avizzano, Massimo Bergamasco, Antonio Frisoli, Simone Marcheschi, Jorge Solis",Advanced Robotics,21,3-4,p267 - p291,2007,10.1163/156855307780131992,02-Apr-2012,https://doi.org/10.1163/156855307780131992,122.0,29.0
Methodology combining industry 4.0 technologies and KPI's reliability for supply chain performance,"Driss Amegouz, Yves Ducq, Ahmed Lfakir, Anne Zouggar Amrani, Yousra el Kihel",International Journal of Computer Integrated Manufacturing,36,8,p1128 - p1152,2023,10.1080/0951192x.2022.2162605,13-Jan-2023,https://doi.org/10.1080/0951192x.2022.2162605,790.0,4.0
An innovative meta-heuristic for balancing and scheduling human-robot collaborative assembly lines in Industry 5.0,"Shigeru Fujimura, Jingyue Zhang",Journal of Industrial and Production Engineering,,,p1 - p21,5187,10.1080/21681015.2025.2533436,31-Jul-2025,https://doi.org/10.1080/21681015.2025.2533436,610.0,1.0
Human-robot mobile co-manipulation of flexible objects by fusing wrench and skeleton tracking data,"Eric Demeester, Karel Kellens, Gert Schouterden, David de Schepper",International Journal of Computer Integrated Manufacturing,36,1,p30 - p50,2023,10.1080/0951192x.2022.2081362,07-Jun-2022,https://doi.org/10.1080/0951192x.2022.2081362,386.0,8.0
Deep Learning Approaches for User Engagement Detection in Human-Robot Interaction: A Scoping Review,"Pierre Gander, Imran Khan, Robert Lowe, Bahram Salamat Ravandi",International Journal of Human–Computer Interaction,41,20,p13074 - p13092,2025,10.1080/10447318.2025.2470277,06-Mar-2025,https://doi.org/10.1080/10447318.2025.2470277,1514.0,2.0
Humanoid robots for assisting people with physical disabilities in activities of daily living: A scoping review,"Dag Tomas Johannesen, Hege Mari Johnsen, Linda Sørensen",Assistive Technology,37,3,p203 - p219,2025,10.1080/10400435.2024.2337194,06-May-2024,https://doi.org/10.1080/10400435.2024.2337194,5194.0,8.0
The performance impact of Industry 4.0 technologies on closed-loop supply chains: insights from an Italy based survey,"Riccardo Aldrighetti, Daria Battini, Ajay Das, Marco Simonetto",International Journal of Production Research,61,9,p3004 - p3029,2023,10.1080/00207543.2022.2075291,27-May-2022,https://doi.org/10.1080/00207543.2022.2075291,2142.0,28.0
Exploring the transition from techno centric industry 4.0 towards value centric industry 5.0: a systematic literature review,"Mahdi Bashiri, Etieno Enang, David Jarvis",International Journal of Production Research,61,22,p7866 - p7902,2023,10.1080/00207543.2023.2221344,26-Jun-2023,https://doi.org/10.1080/00207543.2023.2221344,6490.0,44.0
Digital Twins in Human-Computer Interaction: A Systematic Review,"Barbara Rita Barricelli, Daniela Fogli",International Journal of Human–Computer Interaction,40,2,p79 - p97,2024,10.1080/10447318.2022.2118189,09-Sep-2022,https://doi.org/10.1080/10447318.2022.2118189,3297.0,34.0
Intelligent decision support for maintenance: an overview and future trends,"C Emmanouilidis, R Roy, A Tiwari, T Tomiyama, C J Turner",International Journal of Computer Integrated Manufacturing,32,10,p936 - p959,2019,10.1080/0951192x.2019.1667033,03-Oct-2019,https://doi.org/10.1080/0951192x.2019.1667033,1774.0,60.0
Digital assets in zero-defect manufacturing: literature review and proposed framework,"Andrés Boza, Francisco Fraile, Miguel Angel Mateo-Casali",International Journal of Production Research,,,p1 - p28,5187,10.1080/00207543.2025.2563746,07-Oct-2025,https://doi.org/10.1080/00207543.2025.2563746,486.0,0.0
Modelling and solving approaches for scheduling problems in reconfigurable manufacturing systems,"Xavier Delorme, Gérard Fleury, Philippe Lacomme, Damien Lamy",International Journal of Production Research,62,7,p2683 - p2704,2024,10.1080/00207543.2023.2224446,21-Jun-2023,https://doi.org/10.1080/00207543.2023.2224446,536.0,15.0
